Date,Category,Amount,Payment_Mode,Month
12/27/2025,Rent,11403,Card,August
12/27/2025,Rent,3653,Online,December
12/28/2025,Utilities,10304,Card,May
12/29/2025,Shopping,12278,Online,May
12/29/2025,Entertainment,14151,Card,August
12/30/2025,Rent,14013,Cash,December
12/30/2025,Health,5876,Online,June
1/1/2026,Shopping,11353,Cash,April
1/1/2026,Utilities,10693,Card,September
1/2/2026,Shopping,12308,Card,November
1/3/2026,Utilities,6912,Online,April
1/3/2026,Transport,12871,Card,May
1/4/2026,Shopping,11480,Online,March
1/4/2026,Health,4803,Card,January
1/5/2026,Utilities,9318,Online,September
1/5/2026,Entertainment,5289,Online,September
1/5/2026,Entertainment,5490,Card,August
1/8/2026,Food,13644,Cash,July
1/8/2026,Transport,14537,Card,November
1/9/2026,Utilities,12445,Cash,August
1/10/2026,Rent,719,Online,April
1/12/2026,Health,5184,Online,October
1/14/2026,Transport,8807,Online,May
1/14/2026,Entertainment,12832,Cash,August
1/17/2026,Entertainment,11092,Card,December
1/18/2026,Food,2845,Cash,July
1/18/2026,Rent,14627,Cash,November
1/19/2026,Utilities,5004,Online,August
1/19/2026,Entertainment,5857,Cash,December
1/20/2026,Transport,11708,Cash,May
1/20/2026,Health,6362,Card,January
1/21/2026,Shopping,9786,Cash,January
1/21/2026,Utilities,3324,Online,March
1/23/2026,Transport,9929,Online,October
1/23/2026,Food,7327,Card,April
1/27/2026,Health,12473,Online,January
1/28/2026,Food,6995,Cash,February
1/28/2026,Rent,4540,Card,August
1/30/2026,Transport,5692,Online,February
1/31/2026,Rent,4712,Online,November
1/31/2026,Health,11777,Cash,September
2/2/2026,Utilities,6880,Cash,July
2/2/2026,Entertainment,3862,Card,January
2/2/2026,Health,10288,Online,March
2/2/2026,Health,7199,Card,April
2/5/2026,Entertainment,5545,Card,January
2/5/2026,Transport,12736,Card,October
2/7/2026,Entertainment,3819,Online,February
2/7/2026,Health,4643,Cash,September
2/8/2026,Rent,13159,Cash,February
2/9/2026,Health,5897,Cash,March
2/10/2026,Transport,4233,Cash,December
2/11/2026,Transport,2908,Online,August
2/12/2026,Rent,6376,Card,January
2/14/2026,Food,1100,Cash,September
2/14/2026,Entertainment,14239,Online,June
2/14/2026,Rent,11887,Online,September
2/14/2026,Entertainment,5116,Cash,December
2/15/2026,Health,4775,Card,January
2/17/2026,Entertainment,8457,Online,November
2/18/2026,Shopping,12157,Card,October
2/18/2026,Shopping,3841,Card,November
2/21/2026,Food,13932,Card,November
2/21/2026,Rent,3181,Cash,January
2/22/2026,Rent,2572,Online,January
2/23/2026,Transport,3814,Cash,September
2/25/2026,Food,14235,Cash,September
2/25/2026,Entertainment,5852,Card,April
2/28/2026,Entertainment,225,Online,October
3/1/2026,Shopping,4053,Cash,May
3/2/2026,Utilities,14277,Cash,January
3/2/2026,Entertainment,1086,Card,September
3/2/2026,Rent,10674,Online,March
3/3/2026,Shopping,1812,Card,October
3/5/2026,Shopping,5303,Online,October
3/5/2026,Transport,11818,Cash,May
3/6/2026,Transport,6453,Cash,March
3/6/2026,Entertainment,12039,Cash,September
3/6/2026,Food,4531,Online,November
3/8/2026,Health,6913,Online,January
3/8/2026,Health,10461,Card,November
3/8/2026,Rent,111,Card,August
3/8/2026,Food,10799,Card,July
3/10/2026,Food,3316,Cash,June
3/11/2026,Health,10005,Card,February
3/12/2026,Utilities,14746,Online,August
3/12/2026,Rent,1158,Cash,July
3/14/2026,Entertainment,14194,Cash,July
3/15/2026,Transport,9839,Online,October
3/16/2026,Entertainment,5529,Card,January
3/17/2026,Entertainment,1782,Card,November
3/21/2026,Shopping,3058,Card,June
3/23/2026,Rent,3339,Online,November
3/25/2026,Entertainment,1443,Card,December
3/25/2026,Health,9308,Cash,January
3/26/2026,Entertainment,9399,Cash,February
3/26/2026,Shopping,8132,Card,July
3/26/2026,Health,2456,Cash,February
3/26/2026,Utilities,4136,Online,June
3/28/2026,Shopping,11661,Cash,August
3/29/2026,Entertainment,14651,Card,May
3/29/2026,Transport,7127,Online,October
3/30/2026,Shopping,4267,Cash,April
3/30/2026,Utilities,9599,Cash,November
4/1/2026,Entertainment,7017,Online,April
4/1/2026,Transport,14763,Cash,February
4/2/2026,Entertainment,7129,Cash,October
4/3/2026,Entertainment,7427,Card,August
4/3/2026,Shopping,2593,Card,January
4/4/2026,Food,12297,Card,December
4/5/2026,Food,2872,Cash,April
4/6/2026,Transport,3255,Card,March
4/7/2026,Health,101,Online,March
4/8/2026,Entertainment,14677,Cash,August
4/8/2026,Transport,869,Online,December
4/8/2026,Health,11994,Online,April
4/9/2026,Health,2039,Card,November
4/9/2026,Food,1088,Cash,April
4/10/2026,Entertainment,9871,Cash,May
4/11/2026,Food,11029,Online,March
4/12/2026,Rent,11230,Cash,April
4/13/2026,Transport,13225,Cash,June
4/14/2026,Utilities,11524,Cash,December
4/15/2026,Rent,1150,Cash,February
4/16/2026,Rent,1298,Online,April
4/16/2026,Utilities,8984,Online,December
4/17/2026,Utilities,3566,Online,June
4/18/2026,Food,1804,Cash,January
4/18/2026,Rent,2852,Cash,March
4/19/2026,Transport,11800,Online,June
4/20/2026,Transport,8006,Online,March
4/21/2026,Health,7024,Cash,February
4/22/2026,Transport,6887,Card,September
4/28/2026,Health,7861,Online,November
4/30/2026,Transport,7036,Online,July
5/1/2026,Utilities,10461,Card,June
5/1/2026,Transport,3224,Online,October
5/3/2026,Utilities,12682,Online,September
5/3/2026,Utilities,10332,Card,December
5/4/2026,Shopping,891,Cash,March
5/6/2026,Entertainment,14788,Online,January
5/6/2026,Shopping,10845,Online,October
5/7/2026,Food,13246,Card,November
5/7/2026,Rent,13381,Cash,February
5/10/2026,Rent,12357,Online,April
5/10/2026,Rent,6190,Cash,June
5/10/2026,Entertainment,7611,Card,December
5/12/2026,Entertainment,9087,Cash,September
5/13/2026,Transport,3888,Card,September
5/13/2026,Health,10376,Cash,March
5/16/2026,Entertainment,1277,Cash,November
5/16/2026,Food,675,Cash,December
5/16/2026,Shopping,14010,Card,August
5/18/2026,Rent,9027,Card,October
5/18/2026,Health,8079,Card,January
5/20/2026,Food,14849,Cash,April
5/21/2026,Entertainment,12103,Online,December
5/21/2026,Entertainment,9852,Cash,July
5/21/2026,Utilities,11858,Card,April
5/21/2026,Food,13473,Cash,November
5/21/2026,Food,5443,Online,May
5/22/2026,Health,4860,Online,May
5/25/2026,Food,10923,Cash,March
5/25/2026,Utilities,10206,Card,September
5/26/2026,Health,5995,Cash,April
5/27/2026,Food,734,Online,February
5/28/2026,Food,1691,Card,May
5/28/2026,Shopping,3527,Card,November
5/29/2026,Shopping,11663,Cash,July
5/30/2026,Utilities,11228,Online,June
5/30/2026,Utilities,4499,Online,December
6/1/2026,Transport,10160,Online,April
6/1/2026,Food,2378,Online,December
6/1/2026,Utilities,8701,Card,June
6/2/2026,Shopping,5755,Card,February
6/2/2026,Utilities,7215,Online,December
6/3/2026,Health,1329,Online,March
6/3/2026,Rent,12146,Card,April
6/4/2026,Entertainment,12021,Cash,April
6/4/2026,Shopping,13131,Card,August
6/9/2026,Health,14213,Cash,November
6/10/2026,Utilities,1535,Online,May
6/10/2026,Rent,12422,Cash,September
6/13/2026,Transport,12968,Online,April
6/14/2026,Health,6182,Online,April
6/14/2026,Health,8542,Cash,February
6/14/2026,Shopping,13698,Online,June
6/15/2026,Health,5891,Cash,February
6/15/2026,Health,9327,Cash,September
6/16/2026,Health,11973,Card,May
6/16/2026,Health,3273,Card,December
6/18/2026,Health,1987,Card,January
6/21/2026,Food,554,Cash,October
6/21/2026,Food,10632,Cash,June
6/24/2026,Shopping,6189,Cash,September
6/25/2026,Utilities,7825,Card,August
6/26/2026,Shopping,14946,Card,April
6/26/2026,Entertainment,13480,Cash,May
6/27/2026,Health,4311,Cash,November
6/30/2026,Entertainment,11085,Online,October
7/1/2026,Food,7152,Card,August
7/2/2026,Shopping,8608,Online,April
7/3/2026,Transport,9296,Online,September
7/4/2026,Rent,13729,Card,February
7/8/2026,Transport,14726,Online,April
7/8/2026,Shopping,14551,Online,September
7/9/2026,Transport,9231,Card,July
7/9/2026,Shopping,12698,Online,January
7/10/2026,Rent,1488,Cash,March
7/10/2026,Shopping,6283,Card,January
7/11/2026,Utilities,8633,Online,August
7/13/2026,Food,14209,Cash,February
7/16/2026,Entertainment,12903,Card,September
7/17/2026,Health,11915,Cash,June
7/17/2026,Transport,8565,Card,February
7/17/2026,Entertainment,4133,Cash,October
7/17/2026,Shopping,9838,Cash,July
7/17/2026,Food,10953,Card,July
7/18/2026,Health,9866,Card,November
7/20/2026,Rent,13874,Card,April
7/20/2026,Entertainment,6744,Online,May
7/22/2026,Transport,8941,Cash,July
7/23/2026,Rent,14726,Card,January
7/23/2026,Health,582,Cash,May
7/24/2026,Utilities,10305,Cash,August
7/24/2026,Food,6199,Cash,December
7/31/2026,Food,12747,Online,April
7/31/2026,Utilities,10089,Card,December
7/31/2026,Shopping,6981,Online,May
8/3/2026,Food,9020,Card,December
8/3/2026,Transport,8327,Cash,December
8/5/2026,Rent,4982,Online,July
8/8/2026,Entertainment,1842,Card,October
8/9/2026,Health,12255,Cash,March
8/10/2026,Entertainment,8576,Card,August
8/10/2026,Food,6254,Online,August
8/10/2026,Transport,14310,Cash,October
8/11/2026,Food,11471,Card,June
8/12/2026,Rent,5209,Card,September
8/12/2026,Food,121,Cash,February
8/13/2026,Food,7590,Card,July
8/13/2026,Food,1489,Card,May
8/14/2026,Food,9731,Online,June
8/14/2026,Transport,5205,Card,March
8/15/2026,Food,5226,Cash,May
8/15/2026,Rent,12695,Card,July
8/15/2026,Food,13431,Card,February
8/15/2026,Shopping,14164,Cash,June
8/15/2026,Transport,11845,Online,November
8/15/2026,Food,11679,Online,November
8/16/2026,Food,11066,Cash,November
8/16/2026,Entertainment,12220,Card,May
8/17/2026,Rent,4880,Card,February
8/18/2026,Rent,1236,Online,March
8/19/2026,Shopping,13142,Card,July
8/20/2026,Transport,7573,Cash,August
8/20/2026,Rent,5563,Card,August
8/25/2026,Transport,11338,Card,November
8/25/2026,Rent,10533,Cash,May
8/27/2026,Food,5550,Cash,July
8/28/2026,Utilities,172,Cash,October
8/29/2026,Shopping,4699,Card,May
8/29/2026,Health,1904,Cash,June
8/30/2026,Shopping,3456,Cash,June
8/30/2026,Health,13060,Cash,September
8/31/2026,Transport,7695,Online,June
9/1/2026,Utilities,13361,Online,March
9/2/2026,Health,2836,Online,March
9/4/2026,Transport,11307,Cash,April
9/7/2026,Health,8695,Cash,September
9/8/2026,Health,3046,Online,March
9/9/2026,Entertainment,11071,Card,May
9/12/2026,Entertainment,13679,Cash,February
9/13/2026,Transport,11409,Card,December
9/14/2026,Shopping,9859,Online,March
9/14/2026,Utilities,3172,Cash,February
9/16/2026,Health,3596,Cash,November
9/18/2026,Transport,14094,Cash,July
9/19/2026,Entertainment,10931,Cash,August
9/19/2026,Rent,258,Cash,December
9/22/2026,Health,10003,Card,October
9/22/2026,Entertainment,9007,Card,November
9/23/2026,Utilities,10101,Online,September
9/23/2026,Food,6738,Card,April
9/25/2026,Food,7217,Cash,August
9/25/2026,Utilities,2840,Online,December
